Well_ID,X,Y,TVD,CompLength,FracStage,TotalPropPlaced,qi,b,D,CumProd
42,26.4313560606126,387.681295454556,2922.4,2432.7998046875,13,1780.50000023842,669.788341066427,1.99999999998739,0.447350004184595,16842.6561188506
43,-24.4746439393921,180.412295454559,3130.7,1172.35009765625,16,2387,1350.34830917001,1.58779937340449,0.162244697101038,49717.6880718544
44,-24.4626439393869,182.882295454547,3124.8,1187.34985351563,16,2399.12998962402,1470.21360178694,1.54796926435879,0.842540928554591,18477.6668030383
45,-13.2246439393882,216.904295454555,3119.9,1995.5498046875,25,3999.13000488281,2329.50510402807,1.99999999983982,0.305103762600539,81162.435977368
46,-11.4286439393894,65.3312954545555,3219.8,1111.5,13,893.690006256104,1454.19965562758,1.99999999980772,0.808825436525867,30027.6880178814
47,19.0673560606101,124.139295454555,3110.4,1230,18,3484,2852.31997225466,1.99999999998431,0.406809711719229,87365.3544447268
48,19.2083560606093,116.287295454555,3115.9,1200,18,3743,4819.53034121419,1.66,0.18,183404.669265063
49,19.2013560606128,108.113295454558,3123.6,1216.5,18,3770,4726.15023933501,1.6,0.25,144480.067342872
50,19.7603560606083,112.173295454554,3123.5,1140.89990234375,18,2541.5,3204.08777676236,1.83247944827008,0.656059626616862,68663.696030073
51,19.2033560606077,104.693295454553,3126.2,1212.5,18,3735,4981.33741108581,1.7,0.2,184232.191744346
52,19.0263560606141,67.3152954545486,3158.1,1262.09008789063,23,2860,2194.00870653036,1.99999999992981,0.360192956741659,70401.2053321237
53,35.0263560606123,93.0672954545457,3131.3,1403,14,2037.5,2131.10087110419,1.9999999998692,0.113812509788114,116073.276908605
54,-9.62764393938897,-76.2377045454485,3271.2,975,12,1385.30000305176,830.865262000107,1.99999999986624,0.333628772865183,25424.768227659
55,15.0713560606093,-125.956704545445,3327,1881.34033203125,27,4458.5899810791,2756.08370733362,1.27255986365238,0.123330933119866,100226.964222421
56,15.7423560606134,-88.4197045454442,3269.9,1461,16,2219.46000528336,2011.63355820765,1.84259991282485,0.412799579372321,54103.8633726962
57,14.253356060614,-69.8167045454454,3291.6,1404.5,10,1541.1300201416,2407.28884964416,1.99999999994816,1.16894156186708,43121.8187675227
58,19.1533560606132,-107.867704545441,3313.4,2237.330078125,32,5282.74998474121,2487.1880544861,1.99999999996496,0.0860988819266792,153220.369070012
59,19.1723560606079,-116.29570454545,3318.3,1804.5,26,3809.98999786377,2609.12055089131,1.66068228893166,0.520237440157054,54100.6433729027
60,26.1263560606082,-101.074704545454,3275.2,2565.7001953125,35,6608.57000732422,3097.94462538355,1.95543647573688,0.678106311819311,71839.3396974883
61,30.2543560606097,-100.943704545443,3273.4,2211.10009765625,31,5862.16999816895,2739.81557590666,1.99999999989115,0.343350919104823,90861.1351578741
62,34.2013560606134,-100.97470454545,3267.3,1901,27,5034.1499786377,1703.68156662785,1.86986420192697,0.39102957466064,47505.3041506894
63,38.3573560606081,-101.123704545444,3264.3,1606,23,4371.31001281738,1432.42829595912,1.99999999942587,0.400340986361125,42421.6146259498
64,18.9863560606085,-156.010704545452,3360.1,1260.5,13,2050,1624.37111773349,1.99999999999953,0.88805059135756,32335.6430751111
65,-12.1056439393854,-525.240704545453,3752.4,2099.5,30,5705.6300201416,2471.96791509863,1.26696602088604,0.926863327505767,20568.1582063676
66,-9.45264393939027,-525.091704545446,3751.7,1989.89990234375,28,5324.40000915527,2294.16327710638,1.61664617134606,0.401066311222571,52846.1115053097
67,-15.5166439393923,-648.052704545449,3922.3,2640.60986328125,36,7496,6133.29408863926,1.6,0.25,188787.749487351
68,52.3883560606109,149.38529545455,3023.9,2121.4501953125,18,3212.75996398926,1112.87997051364,1.21754789380727,0.0820971070113003,48263.3288028445
69,57.5713560606133,136.862295454549,3081.4,1820.16015625,24,2639.32999420166,1176.50428340725,1.23139869358946,0.0949822327529254,47002.4022572938
70,62.7753560606124,236.67929545455,2965.4,1901.830078125,17,2858.47999572754,1003.87734279317,1.43729841362814,0.243663543560175,24795.1799488919
71,62.747356060612,232.372295454553,2967.1,2186,22,2471,1073.77946624372,1.37215646023994,0.236512523820263,25679.9922927304
72,93.287356060614,135.676295454559,3017.5,1875.4501953125,16,2854.51000976563,1180.64008891107,1.20844608052789,0.171638584874207,30598.0482748193
73,96.4723560606089,128.875295454549,3021.9,2000.4501953125,17,2843.21999818087,726.807625753405,1.08581502677762,0.114700459080959,21198.3274677361
74,96.9803560606124,157.117295454555,2986.7,1669,14,1213.80001068115,1036.72123402318,1.12128785615476,0.176988356877666,23470.3158080331
75,112.539356060608,132.438295454548,2977.4,1564,13,1221.39999771118,1015.1967154657,1.33111058723119,0.222142766969117,24172.3831618483
76,66.330356060611,86.2052954545476,3068.1,1963.5498046875,15,2500.91999816895,938.526510289273,1.55965847641929,0.223107064151365,27020.4604311997
77,71.5343560606101,91.1072954545489,3057.7,1210.4501953125,10,1620,834.913467316059,1.42696728988511,0.475341617902227,11970.9385598339
78,81.682356060611,43.2932954545464,3071.6,2292.3701171875,40,3511.5,701.466494385331,1.99999999978125,1.47350716994454,8584.46419026584
79,96.2523560606101,119.339295454552,3054.4,1900.4501953125,10,654.400000810623,497.046413706829,1.51448052561054,0.243903807666729,11328.4496054084
80,96.4183560606102,123.74129545455,3026.4,1942.4501953125,16,2031.61000031233,1049.27666729909,1.98855368870274,0.369679669687512,31144.1139843043
81,129.94535606061,46.7122954545545,3058.5,2228.15014648438,28,3365.40000915527,1609.3114333177,1.58172523667729,0.56092497534603,28152.3446405765
82,130.000356060613,55.7492954545467,3050.1,2280.4501953125,29,3479.47998809814,1502.20032574156,1.11714499394618,0.757703611297215,9815.0956124315
83,129.958356060612,59.3612954545506,3046.4,2308.84985351563,29,3485.10001373291,1417.46843835452,1.99999999970319,1.07139052414113,25079.6670171428
84,129.924356060613,53.1332954545576,3057.1,2405.00024414063,30,3558.67001342773,1612.15175724305,1.05881664584304,0.597096759316857,12117.2731764854
85,52.634356060608,-53.1497045454472,3197.6,2484,36,6817,2215.09363294529,1.65647360389598,0.130555371886478,97947.0489911502
86,56.5343560606095,-50.4467045454504,3190.6,2136.5,31,5702,2399.99132232005,1.99999999999415,0.405745548693135,73032.3859881905
87,60.2843560606132,-150.407704545444,3276.9,1978,28,5274.91000366211,2247.31887020571,1.488394665072,0.385552681259032,46976.8802524217
88,66.1033560606086,-139.561704545443,3272.3,2048.7998046875,29,5514.54992675781,1498.15259462616,1.57087804874945,0.240434209284676,43669.6304238822
89,68.887356060614,-133.780704545444,3268.7,2115.39990234375,30,5702.63000488281,2046.09203354125,1.41231599552954,0.201117417643276,59998.4570211755
90,62.0013560606125,-50.461704545441,3185,1626,24,4367,2905.94142435074,1.99445847119164,0.467772860654483,82978.7942325873
91,62.4793560606136,-24.9487045454515,3170.7,2620.8798828125,39,7211.75001525879,3277.80146588993,1.36576773010728,0.351349968414353,65776.7855045086
92,65.0413560606111,-24.3357045454502,3167.1,2401.7998046875,36,6651.6000289917,3281.76135766986,1.73056232864531,0.639014850530781,65359.9722612493
93,88.5793560606132,-98.147704545454,3194.9,1976.5,20,3197,2530.91556914546,1.66185364163154,0.393019674936906,61698.3948304878
94,82.2813560606122,-109.691704545455,3206.7,2836.0498046875,41,9409.14001464844,3879.73948411515,1.99999999999349,0.536087008552534,105255.723320106
95,85.8763560606093,-100.398704545441,3202.4,1933.85986328125,27,5130,2098.32530010003,1.94246647335337,0.486091673208712,55799.1396355141
96,91.9103560606089,-86.4367045454486,3190.3,1977,20,4384,2649.89434851383,1.57451191919781,0.401964734688543,59247.6651309703
97,103.625356060611,-66.9387045454499,3162.8,2426,35,6539.93998718262,3701.18063782538,1.7529852798219,0.452391410535085,91447.1449522921
98,120.625356060614,-161.633704545451,3204.1,2137.5,31,7016.52996826172,2798.87247774309,1.85628614344213,0.378167272864546,81000.5882738731
99,58.8233560606142,-186.290704545442,3326.5,1229.90991210938,26,2130.91000211239,771.900447129433,1.99999999993254,0.272541041364542,25961.8671446204
100,82.2373560606096,-211.133704545446,3300.5,2712.509765625,39,7592.97999572754,4037.77411113768,1.1558714343964,0.206398057399642,94531.5091283789
101,76.6103560606126,-269.942704545443,3340.7,1954.5,20,3630.86999511719,1756.66157741711,1.86412176451157,0.540291447293167,41147.4459562019
102,104.214356060609,-266.955704545452,3303.4,2520.5,38,6511.15996551514,1573.26414936345,1.99999999994774,0.253404553550685,58663.8145018868
