X,Y,Z,density,resistivity,Ore_log
1409.094,2454.547,341.2245,0.1502754,2.46241,0
1772.734,2545.453,341.2245,0.1218537,2.58352,0
2454.547,2681.813,341.2245,-0.07870907,2.352698,0
1090.906,2818.188,341.2245,0.07396334,2.338088,0
1681.813,2863.641,341.2245,0.1126719,2.279624,0
2772.734,2863.641,341.2245,-0.07584491,2.622094,0
3318.188,2909.094,341.2245,-0.1031885,2.319809,0
1363.641,3000,341.2245,0.1219423,2.297956,0
2272.734,3045.453,341.2245,0.05031752,2.542691,0
2000,3090.906,341.2245,0.04457725,2.439984,0
681.8125,3136.359,341.2245,-0.06846312,2.940465,0
272.7344,3318.188,341.2245,-0.196634,2.001507,0
1090.906,3363.641,341.2245,0.04510409,2.26036,0
1545.453,3363.641,341.2245,0.07566925,2.527166,0
1954.547,3363.641,341.2245,-0.0704014,2.566262,0
2681.813,3363.641,341.2245,0.01838084,3.022588,0
4000,3636.359,341.2245,0.0348817,2.135849,0
1318.188,3681.813,341.2245,0.05777287,2.304745,0
3000,3727.266,341.2245,0.08522532,2.110283,0
2318.188,3818.188,341.2245,-0.2277741,2.938475,0
500,4090.906,341.2245,-0.2994909,2.357573,0
3272.734,4090.906,341.2245,0.2216895,2.354201,0
3954.547,4136.359,341.2245,0.1962866,2.22341,0
3500,4272.734,341.2245,0.2519094,2.319644,0
2409.094,227.2656,333.4694,-0.01442274,2.498812,0
2272.734,409.0938,333.4694,-0.0269047,2.26612,0
3181.813,409.0938,333.4694,-0.03248794,1.934451,0
590.9063,954.5469,333.4694,-0.1437039,2.214044,0
2636.359,1363.641,333.4694,-0.1109477,2.341015,0
3090.906,1863.641,333.4694,-0.2917424,2.221031,0
1590.906,2045.453,333.4694,0.0604403,2.508039,0
772.7344,2090.906,333.4694,-0.2606878,2.565695,0
2045.453,2363.641,333.4694,-0.07162361,2.469085,0
818.1875,2409.094,333.4694,-0.1630839,2.186117,0
2772.734,2409.094,333.4694,-0.001745833,2.326118,0
1409.094,2454.547,333.4694,0.1500342,2.449972,0
1772.734,2545.453,333.4694,0.1214977,2.567711,0
2454.547,2681.813,333.4694,-0.07826754,2.346261,0
1090.906,2818.188,333.4694,0.07468142,2.332085,0
1681.813,2863.641,333.4694,0.1124514,2.27448,0
2772.734,2863.641,333.4694,-0.07559292,2.615928,0
3318.188,2909.094,333.4694,-0.1024785,2.328676,0
1363.641,3000,333.4694,0.1203677,2.296987,0
2272.734,3045.453,333.4694,0.05018257,2.537792,0
2000,3090.906,333.4694,0.04559566,2.432238,0
681.8125,3136.359,333.4694,-0.06709576,2.936483,0
272.7344,3318.188,333.4694,-0.1950494,2.018054,0
1090.906,3363.641,333.4694,0.04483348,2.253883,0
1545.453,3363.641,333.4694,0.07576239,2.515388,0
1954.547,3363.641,333.4694,-0.07059495,2.563632,0
2681.813,3363.641,333.4694,0.01765946,3.008471,0
4000,3636.359,333.4694,0.03548368,2.140169,0
1318.188,3681.813,333.4694,0.05939556,2.301452,0
3000,3727.266,333.4694,0.08544317,2.111406,0
2318.188,3818.188,333.4694,-0.2263755,2.93566,0
500,4090.906,333.4694,-0.2974207,2.358531,0
3272.734,4090.906,333.4694,0.223784,2.349176,0
3954.547,4136.359,333.4694,0.1977341,2.221305,0
3500,4272.734,333.4694,0.254131,2.31862,0
2409.094,227.2656,325.7143,-0.01244034,2.494149,0
2272.734,409.0938,325.7143,-0.02558809,2.268767,0
3181.813,409.0938,325.7143,-0.03057377,1.940828,0
590.9063,954.5469,325.7143,-0.1416796,2.210688,0
2636.359,1363.641,325.7143,-0.108116,2.343067,0
3090.906,1863.641,325.7143,-0.2909213,2.230685,0
1590.906,2045.453,325.7143,0.06220666,2.48902,0
772.7344,2090.906,325.7143,-0.2590393,2.555247,0
2045.453,2363.641,325.7143,-0.07319883,2.460121,0
818.1875,2409.094,325.7143,-0.1617956,2.182938,0
2772.734,2409.094,325.7143,0.001945959,2.322753,0
1409.094,2454.547,325.7143,0.1503821,2.437298,0
1772.734,2545.453,325.7143,0.121118,2.552,0
2454.547,2681.813,325.7143,-0.07919392,2.339824,0
1090.906,2818.188,325.7143,0.07498913,2.325378,0
1681.813,2863.641,325.7143,0.1109613,2.261408,0
2772.734,2863.641,325.7143,-0.07563941,2.604017,0
3318.188,2909.094,325.7143,-0.1012026,2.335405,0
1363.641,3000,325.7143,0.119831,2.28384,0
2272.734,3045.453,325.7143,0.05120482,2.51775,0
2000,3090.906,325.7143,0.04548114,2.41442,0
681.8125,3136.359,325.7143,-0.06375584,2.940802,0
272.7344,3318.188,325.7143,-0.1905408,2.024573,0
1090.906,3363.641,325.7143,0.04672269,2.248003,0
1545.453,3363.641,325.7143,0.07589445,2.497257,0
1954.547,3363.641,325.7143,-0.0713504,2.547539,0
2681.813,3363.641,325.7143,0.01923615,2.981328,0
4000,3636.359,325.7143,0.03919865,2.137926,0
1318.188,3681.813,325.7143,0.06246153,2.287776,0
3000,3727.266,325.7143,0.08623506,2.093985,0
2318.188,3818.188,325.7143,-0.2245595,2.934052,0
500,4090.906,325.7143,-0.2942105,2.356925,0
3272.734,4090.906,325.7143,0.2279606,2.338538,0
3954.547,4136.359,325.7143,0.2006562,2.221156,0
3500,4272.734,325.7143,0.2589118,2.314011,0
2409.094,227.2656,317.9592,-0.01096444,2.493262,0
2272.734,409.0938,317.9592,-0.02468869,2.269071,0
3181.813,409.0938,317.9592,-0.02953943,1.943023,0
590.9063,954.5469,317.9592,-0.1404857,2.210068,0
2636.359,1363.641,317.9592,-0.1060715,2.344268,0
3090.906,1863.641,317.9592,-0.2915293,2.237039,0
1590.906,2045.453,317.9592,0.06526628,2.480389,0
772.7344,2090.906,317.9592,-0.257037,2.555142,0
2045.453,2363.641,317.9592,-0.07560392,2.456679,0
818.1875,2409.094,317.9592,-0.1613338,2.177628,0
2772.734,2409.094,317.9592,0.005460041,2.323143,0
1409.094,2454.547,317.9592,0.1511066,2.434211,0
1772.734,2545.453,317.9592,0.1205587,2.546069,0
2454.547,2681.813,317.9592,-0.08056271,2.335992,0
1090.906,2818.188,317.9592,0.07490022,2.321624,0
1681.813,2863.641,317.9592,0.1102102,2.252886,0
2772.734,2863.641,317.9592,-0.07606275,2.598081,0
3318.188,2909.094,317.9592,-0.1005182,2.33913,0
1363.641,3000,317.9592,0.1200818,2.272223,0
2272.734,3045.453,317.9592,0.05226408,2.499721,0
2000,3090.906,317.9592,0.04428187,2.402908,0
681.8125,3136.359,317.9592,-0.06161644,2.946363,0
272.7344,3318.188,317.9592,-0.1887911,2.012858,0
1090.906,3363.641,317.9592,0.04822063,2.244534,0
1545.453,3363.641,317.9592,0.07602949,2.485783,0
1954.547,3363.641,317.9592,-0.0717932,2.531985,0
2681.813,3363.641,317.9592,0.02084156,2.966339,0
4000,3636.359,317.9592,0.04150916,2.133646,0
1318.188,3681.813,317.9592,0.06614497,2.28359,0
3000,3727.266,317.9592,0.08792864,2.080371,0
2318.188,3818.188,317.9592,-0.2235983,2.930843,0
500,4090.906,317.9592,-0.2920023,2.353749,0
3272.734,4090.906,317.9592,0.2313869,2.335043,0
3954.547,4136.359,317.9592,0.2029029,2.22181,0
3500,4272.734,317.9592,0.2622066,2.312122,0
2409.094,227.2656,310.2041,-0.009738846,2.497132,0
2272.734,409.0938,310.2041,-0.02255653,2.276974,0
3181.813,409.0938,310.2041,-0.02740621,1.947135,0
590.9063,954.5469,310.2041,-0.1367375,2.203767,0
2636.359,1363.641,310.2041,-0.1041187,2.349633,0
3090.906,1863.641,310.2041,-0.2886974,2.247414,0
1590.906,2045.453,310.2041,0.06563866,2.462015,0
772.7344,2090.906,310.2041,-0.2530651,2.537853,0
2045.453,2363.641,310.2041,-0.07510988,2.442222,0
818.1875,2409.094,310.2041,-0.1597406,2.180025,0
2772.734,2409.094,310.2041,0.004912736,2.317777,0
1409.094,2454.547,310.2041,0.1513243,2.419477,0
1772.734,2545.453,310.2041,0.1195302,2.522671,0
2454.547,2681.813,310.2041,-0.0796656,2.325944,0
1090.906,2818.188,310.2041,0.07684667,2.309325,0
1681.813,2863.641,310.2041,0.1096805,2.24446,0
2772.734,2863.641,310.2041,-0.07505924,2.587175,0
3318.188,2909.094,310.2041,-0.0994371,2.353131,0
1363.641,3000,310.2041,0.118636,2.266881,0
2272.734,3045.453,310.2041,0.0518954,2.490529,0
2000,3090.906,310.2041,0.04642583,2.388555,0
681.8125,3136.359,310.2041,-0.05968462,2.944259,0
272.7344,3318.188,310.2041,-0.1863395,2.039495,0
1090.906,3363.641,310.2041,0.04997718,2.237875,0
1545.453,3363.641,310.2041,0.07546619,2.467389,0
1954.547,3363.641,310.2041,-0.07107571,2.521966,0
2681.813,3363.641,310.2041,0.01976614,2.944062,0
4000,3636.359,310.2041,0.0437482,2.136866,0
1318.188,3681.813,310.2041,0.06876256,2.281486,0
3000,3727.266,310.2041,0.08753829,2.081975,0
2318.188,3818.188,310.2041,-0.2213031,2.924062,0
500,4090.906,310.2041,-0.2899099,2.356021,0
3272.734,4090.906,310.2041,0.2346894,2.324667,0
3954.547,4136.359,310.2041,0.2054991,2.220025,0
3500,4272.734,310.2041,0.2657495,2.308403,0
2409.094,227.2656,302.449,-0.007473899,2.491547,0
2272.734,409.0938,302.449,-0.02121983,2.274945,0
3181.813,409.0938,302.449,-0.02513434,1.95474,0
590.9063,954.5469,302.449,-0.1360665,2.20225,0
2636.359,1363.641,302.449,-0.100718,2.346324,0
3090.906,1863.641,302.449,-0.2883368,2.254649,0
1590.906,2045.453,302.449,0.06817453,2.442174,0
772.7344,2090.906,302.449,-0.2511108,2.534726,0
2045.453,2363.641,302.449,-0.07696339,2.437912,0
818.1875,2409.094,302.449,-0.1581682,2.17224,0
2772.734,2409.094,302.449,0.01079236,2.317921,0
1409.094,2454.547,302.449,0.1518715,2.408346,0
1772.734,2545.453,302.449,0.1197816,2.511618,0
2454.547,2681.813,302.449,-0.08151279,2.320508,0
1090.906,2818.188,302.449,0.07614156,2.306462,0
1681.813,2863.641,302.449,0.1089869,2.230017,0
2772.734,2863.641,302.449,-0.07554308,2.574934,0
3318.188,2909.094,302.449,-0.09779216,2.358564,0
1363.641,3000,302.449,0.1191984,2.248854,0
2272.734,3045.453,302.449,0.05416912,2.462037,0
2000,3090.906,302.449,0.04456498,2.369728,0
681.8125,3136.359,302.449,-0.05570379,2.945773,0
272.7344,3318.188,302.449,-0.1816573,2.031595,0
1090.906,3363.641,302.449,0.05125216,2.229837,0
1545.453,3363.641,302.449,0.07606695,2.448153,0
1954.547,3363.641,302.449,-0.07213901,2.50154,0
2681.813,3363.641,302.449,0.02277093,2.915658,0
4000,3636.359,302.449,0.04759709,2.13036,0
1318.188,3681.813,302.449,0.07308889,2.267492,0
3000,3727.266,302.449,0.09017129,2.059115,0
2318.188,3818.188,302.449,-0.2194045,2.921765,0
500,4090.906,302.449,-0.2857974,2.342823,0
3272.734,4090.906,302.449,0.2399249,2.31774,0
3954.547,4136.359,302.449,0.2090314,2.217593,0
3500,4272.734,302.449,0.2710357,2.305139,0
2409.094,227.2656,294.6939,-0.006354032,2.491813,0
2272.734,409.0938,294.6939,-0.01990276,2.278111,0
3181.813,409.0938,294.6939,-0.02347092,1.959046,0
590.9063,954.5469,294.6939,-0.1340647,2.199025,0
2636.359,1363.641,294.6939,-0.09917264,2.345891,0
3090.906,1863.641,294.6939,-0.2860987,2.260373,0
1590.906,2045.453,294.6939,0.06774332,2.428575,0
772.7344,2090.906,294.6939,-0.2491412,2.525243,0
2045.453,2363.641,294.6939,-0.07599828,2.428793,0
818.1875,2409.094,294.6939,-0.1567415,2.172854,0
2772.734,2409.094,294.6939,0.01134125,2.315246,0
1409.094,2454.547,294.6939,0.1511947,2.396637,0
1772.734,2545.453,294.6939,0.1194273,2.497037,0
2454.547,2681.813,294.6939,-0.08043604,2.314642,0
1090.906,2818.188,294.6939,0.07702848,2.30014,0
1681.813,2863.641,294.6939,0.1087786,2.222492,0
2772.734,2863.641,294.6939,-0.07488489,2.565899,0
3318.188,2909.094,294.6939,-0.09669305,2.366332,0
1363.641,3000,294.6939,0.1183467,2.243692,0
2272.734,3045.453,294.6939,0.0540456,2.454795,0
2000,3090.906,294.6939,0.04547413,2.358379,0
681.8125,3136.359,294.6939,-0.05352761,2.938468,0
272.7344,3318.188,294.6939,-0.1787024,2.043309,0
1090.906,3363.641,294.6939,0.05200613,2.224514,0
1545.453,3363.641,294.6939,0.07640371,2.435961,0
1954.547,3363.641,294.6939,-0.07168676,2.494427,0
2681.813,3363.641,294.6939,0.02318996,2.896525,0
4000,3636.359,294.6939,0.04939109,2.131757,0
1318.188,3681.813,294.6939,0.07400849,2.260627,0
3000,3727.266,294.6939,0.09019793,2.0581,0
2318.188,3818.188,294.6939,-0.2176239,2.919932,0
500,4090.906,294.6939,-0.2833119,2.346368,0
3272.734,4090.906,294.6939,0.2421106,2.311402,0
3954.547,4136.359,294.6939,0.2106876,2.21714,0
3500,4272.734,294.6939,0.273635,2.301851,0
2409.094,227.2656,286.9388,-0.004027037,2.491476,0
2272.734,409.0938,286.9388,-0.01721981,2.281898,0
3181.813,409.0938,286.9388,-0.02032359,1.966861,0
590.9063,954.5469,286.9388,-0.1312798,2.193704,0
2636.359,1363.641,286.9388,-0.09571026,2.34575,0
3090.906,1863.641,286.9388,-0.2831756,2.270363,0
1590.906,2045.453,286.9388,0.0688016,2.401899,0
772.7344,2090.906,286.9388,-0.2445502,2.509992,0
2045.453,2363.641,286.9388,-0.07671708,2.415186,0
818.1875,2409.094,286.9388,-0.1541237,2.171102,0
2772.734,2409.094,286.9388,0.01383051,2.311328,0
1409.094,2454.547,286.9388,0.1521755,2.377779,0
1772.734,2545.453,286.9388,0.1200392,2.47399,0
2454.547,2681.813,286.9388,-0.08066057,2.303378,0
1090.906,2818.188,286.9388,0.07869021,2.289589,0
1681.813,2863.641,286.9388,0.1088905,2.209937,0
2772.734,2863.641,286.9388,-0.07404257,2.55188,0
3318.188,2909.094,286.9388,-0.09465212,2.37984,0
1363.641,3000,286.9388,0.1178256,2.229328,0
2272.734,3045.453,286.9388,0.05554067,2.433782,0
2000,3090.906,286.9388,0.04678223,2.336323,0
681.8125,3136.359,286.9388,-0.0501093,2.93592,0
272.7344,3318.188,286.9388,-0.1762226,2.054817,0
1090.906,3363.641,286.9388,0.05380658,2.214473,0
1545.453,3363.641,286.9388,0.07669738,2.412041,0
1954.547,3363.641,286.9388,-0.07100192,2.473463,0
2681.813,3363.641,286.9388,0.0242229,2.865249,0
4000,3636.359,286.9388,0.05259503,2.130819,0
1318.188,3681.813,286.9388,0.07880562,2.255899,0
3000,3727.266,286.9388,0.0920899,2.051891,0
2318.188,3818.188,286.9388,-0.2146386,2.911259,0
500,4090.906,286.9388,-0.2792076,2.345763,0
3272.734,4090.906,286.9388,0.2472901,2.301445,0
3954.547,4136.359,286.9388,0.2143322,2.216008,0
3500,4272.734,286.9388,0.2783725,2.298946,0
2409.094,227.2656,279.1837,-0.001644803,2.483089,0
2272.734,409.0938,279.1837,-0.01544875,2.27934,0
3181.813,409.0938,279.1837,-0.01837659,1.967045,0
590.9063,954.5469,279.1837,-0.1296901,2.192085,0
2636.359,1363.641,279.1837,-0.09258892,2.342933,0
3090.906,1863.641,279.1837,-0.2837395,2.277318,0
1590.906,2045.453,279.1837,0.07442719,2.388628,0
772.7344,2090.906,279.1837,-0.2425408,2.505113,0
2045.453,2363.641,279.1837,-0.07898088,2.412429,0
818.1875,2409.094,279.1837,-0.1534009,2.164014,0
2772.734,2409.094,279.1837,0.01911466,2.307837,0
1409.094,2454.547,279.1837,0.1540331,2.374886,0
1772.734,2545.453,279.1837,0.1199342,2.465335,0
2454.547,2681.813,279.1837,-0.08186075,2.30016,0
1090.906,2818.188,279.1837,0.07939047,2.283375,0
1681.813,2863.641,279.1837,0.108849,2.197297,0
2772.734,2863.641,279.1837,-0.07384132,2.540081,0
3318.188,2909.094,279.1837,-0.0931865,2.383499,0
1363.641,3000,279.1837,0.1195726,2.213391,0
2272.734,3045.453,279.1837,0.05751252,2.411634,0
2000,3090.906,279.1837,0.04610088,2.321522,0
