MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,MnO,Fe2O3,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Mo,Ag,Sn,Ba,W,Hg,Pb,Classification
3.3835,0,0,0.454966667,0,0.023366667,0,71.19816667,0.0729,0.0276,0.032566667,0.238166667,0.006833333,0.0007,0,0,0,0.004366667,0,0.0038,0.001333333,0,0.020766667,0,0,0,0,marble
1.814068185,1.935603667,7.605913793,0,42.80421284,0,0.051114574,2.22796601,0,0.00143251,0.033262457,43.40940506,0.02626269,0.048043359,0,0,0.003223148,0.001486772,0,0.000195342,0,0.000249604,0,0,0,0,0.037559988,ore 
0,0.5987,48.30445,0.471575,0.44025,0,0.08975,35.712075,0.0723,0.003625,0.92375,10.3637,0.001625,0.003075,0,0.001025,0.0022,0.003925,0,0.001875,0,0.00135,0.00655,0,0,0.003975,0,intrusive rock
3.7463,0.88045,3.898725,0.369175,0,0,0,57.456525,0.0349,0.00745,0.520475,4.7713,0.005575,0.000575,0,0.003,0,0.01275,0,0.003,0.001175,0.009375,0,0,0,0,0,altered limestone
7.6568,0.62685,22.6538,0.440475,0,0,0.01425,54.40255,0.05175,0,0.445075,5.612475,0.002375,0.0005,0.00595,0.00485,0.00065,0.004,0,0.00325,0.00425,0,0.0121,0,0.00585,0,0,intrusive rock
7.31495,1.09675,9.36185,0.344675,0.002025,0,0,52.508825,0.372825,0,0.226325,2.5682,0.005025,0.000625,0,0,0.002475,0.012275,0,0.01055,0,0,0,0,0,0,0,altered limestone
5.059025,0.3269,6.89585,0.48315,0,0,0.06125,55.497575,0.1093,0,0.1993,2.04945,0.004675,0.0023,0,0,0.000775,0.017025,0.0006,0.0041,0,0,0.006125,0,0,0,0,altered limestone
4.968825,0.511125,4.92335,0.390925,0,0.028425,0,57.850925,0.141725,0.006325,0.16855,1.684875,0.004025,0.000525,0,0,0,0.015425,0.00125,0.004025,0,0,0,0,0,0,0,altered limestone
6.7802,0.31205,10.376175,0.4036,0,0.008425,0,63.272225,0.18505,0.012175,0.267275,2.1268,0.005425,0.0005,0,0.00055,0,0.0061,0.0004,0.0061,0.001,0.005,0.01065,0,0.013775,0,0,altered limestone
5.5014,0,0.5957,0.450675,0,0.029875,0,66.615025,0.0652,0.005925,0.24485,1.646275,0.006025,0.001675,0,0,0,0.0101,0.0011,0.00585,0,0.00495,0.006475,0,0,0,0,altered limestone
0,2.42846637,42.85371619,0.246580868,0.405364739,0,0.027416795,31.38928711,0,0,0.520651513,22.00291489,0.006884608,0.019607753,0,0.027757377,0,0.000924435,0,0,0.000535199,0,0.028657484,0,0.03600431,0.004451884,0.000778472,intrusive rock
0.693671663,7.552915643,40.52669224,0.331734636,0.271165964,0,0.050992874,31.9098564,1.026623759,0.011284924,1.182060716,16.25480985,0.003394842,0.001615477,0,0.002271033,0,0.001638889,0.000468254,0.012549211,0.000632143,0.001217461,0.099199637,0,0.035540488,0.029663899,0,intrusive rock
6.48937915,9.556501216,47.30266555,0.271935441,0.072500476,0,0.05863388,27.64874857,0.40468874,0.006428845,0.709284589,7.450491443,0.00175972,0.000727351,0.003847922,0,0,0.000727351,0.000656962,0.006851178,0,0,0,0,0.014171614,0,0,intrusive rock
5.075075,11.038675,52.768775,0.1958,0.196675,0,0.676625,11.0425,0.3395,0.009925,0.2733,5.06475,0.00085,0.000375,0,0,0.00365,0.023975,0.000925,0.00385,0,0,0,0,0,0,0.000475,intrusive rock
3.918310404,10.40325559,73.57206584,0.098756383,0.025908244,0,3.47905181,6.467522641,0.097123691,0.002341624,0.159359332,1.759182657,0,0.000171862,0,0,0,0.004747696,0,0.006036664,0,0,0,0.006165561,0,0,0,intrusive rock
2.647873274,14.85193882,62.77292473,0.18101649,0.080341156,0,3.646587517,12.40700909,0.472887846,0.003310215,0.052465662,2.794592951,0.001169775,0.001418664,0,0,0.012991971,0.024590168,0.001617774,0.008984869,0,0,0,0.038279027,0,0,0,intrusive rock
2.9606,0.2506,0,0.488433333,0,0.048233333,0,67.00126667,0.071733333,0,0.1383,0.708033333,0.005533333,0.0007,0,0,0,0.013566667,0,0.005966667,0.001266667,0,0.0078,0,0,0,0,limestone
12.70546667,6.0351,17.8825,0.251266667,0.125366667,0,2.692133333,37.85036667,0.6125,0.007233333,0.234266667,7.874766667,0.005766667,0.031666667,0.016133333,0.000566667,0.0185,0.014433333,0,0.013766667,0,0.0053,0.016166667,0,0,0,0.002333333,altered limestone
